"","Year","Set.ID","Site","Area","Valid.hooks","Avg.depth..m.","Lat..N.","Lon..W.","Lat..DD.DDDDD.","Lon..DDD.DDDDD.","SiteSheetID","NumSim"
"1",2004,"04-01-01-001",205,"Santa Barbara Channel",75,82.8,"34 13.510","119 42.230",34.225167,-119.703833,6,7
"2",2004,"04-01-01-002",193,"Santa Barbara",64,23.5,"34 20.955","119 38.290",34.34925,-119.638167,11,0
"3",2004,"04-01-01-003",187,"Santa Barbara",75,37.6,"34 25.916","120 08.434",34.431933,-120.140567,13,0
"4",2004,"04-01-01-004",140,"Point Conception/Arguello",75,56.1,"34 30.302","120 41.483",34.505033,-120.691383,15,1
"5",2004,"04-01-01-005",146,"Point Conception/Arguello",75,53.9,"34 30.013","120 40.615",34.500217,-120.676917,16,0
"6",2004,"04-01-01-006",148,"Point Conception/Arguello",73,59.3,"34 28.791","120 39.436",34.47985,-120.657267,20,4
"7",2004,"04-01-01-007",154,"Point Conception/Arguello",75,71.1,"34 25.850","120 33.264",34.430833,-120.5544,21,17
"8",2004,"04-01-01-008",152,"Point Conception/Arguello",72,45.7,"34 26.490","120 31.880",34.4415,-120.531333,22,4
"9",2004,"04-01-01-009",182,"San Miguel Island",68,69.3,"34 05.049","120 34.519",34.08415,-120.575317,23,3
"10",2004,"04-01-01-010",185,"San Miguel Island",71,48.4,"34 02.395","120 30.622",34.039917,-120.510367,24,0
"11",2004,"04-01-01-011",287,"Santa Rosa Island",70,47.5,"34 05.674","120 15.738",34.094567,-120.2623,25,7
"12",2004,"04-01-01-012",365,"Santa Rosa Island",74,28.5,"34 03.581","119 59.290",34.059683,-119.988167,26,0
"13",2004,"04-01-01-013",232,"Santa Cruz Island",75,110,"33 56.451","119 39.010",33.94085,-119.650167,27,0
"14",2004,"04-01-01-015",226,"Santa Cruz Island",75,33.1,"34 02.371","119 30.784",34.039517,-119.513067,38,0
"15",2004,"04-01-01-016",43,"Anacapa Island",75,94.4,"34 02.226","119 17.935",34.0371,-119.298917,40,31
"16",2004,"04-01-01-014",48,"Anacapa Island",72,72,"33 57.667","119 28.964",33.961117,-119.482733,41,4
"17",2004,"04-01-01-017",162,"Harrison Reef",75,46.6,"34 00.450","119 02.474",34.0075,-119.041233,42,16
"18",2004,"04-01-01-018",346,"Santa Rosa Flats",72,87.4,"33 45.058","120 04.471",33.750967,-120.074517,43,0
"19",2004,"04-01-01-019",352,"Santa Rosa Flats",75,66.5,"33 42.778","119 57.768",33.712967,-119.9628,44,0
"20",2004,"04-01-01-020",243,"Santa Monica Bay",75,74.9,"33 58.789","118 39.624",33.979817,-118.6604,47,0
"21",2004,"04-01-01-021",277,"Santa Monica Bay",75,42.8,"33 52.760","118 35.107",33.879333,-118.585117,48,6
"22",2004,"04-01-01-022",62,"Catalina Island",75,37,"33 20.913","118 31.362",33.34855,-118.5227,49,0
"23",2004,"04-01-01-023",77,"Catalina Island",67,78,"33 17.119","118 20.504",33.285317,-118.341733,50,0
"24",2004,"04-01-01-024",59,"Catalina Island",69,41,"33 25.348","118 23.114",33.422467,-118.385233,51,0
"25",2004,"04-01-01-025",6,"Fourteen Mile Bank",75,94.8,"33 24.314","117 59.560",33.405233,-117.992667,52,0
"26",2004,"04-01-01-026",2,"Fourteen Mile Bank",75,70.8,"33 23.771","117 59.507",33.396183,-117.991783,53,0
"27",2004,"04-01-01-027",16,"Fourteen Mile Bank",75,55.8,"33 23.840","117 59.864",33.397333,-117.997733,54,0
"28",2004,"04-01-01-028",5,"Fourteen Mile Bank",75,74,"33 23.659","117 59.871",33.394317,-117.99785,55,0
"29",2004,"04-01-01-029",33,"Nine Mile Bank",75,71.4,"32 36.820","117 23.950",32.613667,-117.399167,56,5
"30",2004,"04-01-01-030",36,"Nine Mile Bank",75,64.6,"32 34.180","117 20.780",32.569667,-117.346333,57,4
"31",2004,"04-01-01-031",298,"South Coast",75,42.8,"32 36.660","117 17.068",32.611,-117.284467,58,1
"32",2004,"04-01-01-032",299,"South Coast",75,24.2,"32 36.700","117 15.000",32.611667,-117.25,59,0
"33",2004,"04-01-01-033",293,"South Coast",75,28.7,"32 48.367","117 19.061",32.806117,-117.317683,61,0
"34",2004,"04-01-01-034",291,"South Coast",69,44,"32 56.086","117 18.871",32.934767,-117.314517,62,0
"35",2004,"04-01-01-035",289,"South Coast",75,54.6,"33 07.236","117 21.262",33.1206,-117.354367,63,0
"36",2004,"04-01-01-036",92,"Central Coast",75,51.1,"33 15.498","117 33.103",33.2583,-117.551717,64,14
"37",2004,"04-01-01-038",326,"San Pedro Bay",65,46.6,"33 34.340","118 08.530",33.572333,-118.142167,66,0
"38",2004,"04-01-05-002",189,"Santa Barbara",75,43.9,"34 23.646","119 58.808",34.3941,-119.980133,68,4
"39",2004,"04-01-05-003",197,"Santa Barbara",73,41,"34 25.777","120 12.895",34.429617,-120.214917,69,0
"40",2004,"04-01-05-004",151,"Point Conception/Arguello",72,61.3,"34 27.981","120 37.482",34.46635,-120.6247,70,4
"41",2004,"04-01-05-006",149,"Point Conception/Arguello",75,62,"34 28.096","120 37.672",34.468267,-120.627867,71,26
"42",2004,"04-01-05-007",147,"Point Conception/Arguello",68,63.7,"34 29.873","120 41.818",34.497883,-120.696967,72,0
"43",2004,"04-01-05-008",140,"Point Conception/Arguello",75,54.1,"34 30.302","120 41.483",34.505033,-120.691383,73,0
"44",2004,"04-01-05-009",139,"Point Conception/Arguello",70,55.4,"34 31.727","120 43.182",34.528783,-120.7197,74,2
"45",2004,"04-01-05-010",145,"Point Conception/Arguello",73,86.8,"34 29.868","120 43.056",34.4978,-120.7176,75,0
"46",2004,"04-01-05-012",180,"San Miguel Island",69,37,"34 08.488","120 33.928",34.141467,-120.565467,76,0
